chub
n;m;t;i;s;opt;best;iter;time
int;int;float;int;int;float;float;int;float
100;5;0.25;1;0;24304;24381;2;0.120686
100;5;0.25;1;1;24304;24381;0;0.130768
100;5;0.25;1;2;24304;24381;0;0.182918
100;5;0.25;1;3;24304;24381;0;0.186098
100;5;0.25;1;4;24304;24381;0;0.146441
100;5;0.25;1;5;24304;24381;0;0.139212
100;5;0.25;1;6;24304;24381;0;0.136597
100;5;0.25;1;7;24304;24381;0;0.126266
100;5;0.25;1;8;24304;24381;0;0.129092
100;5;0.25;1;9;24304;24381;1;0.126065
100;5;0.25;2;0;24274;24274;0;0.118784
100;5;0.25;2;1;24274;24274;0;0.116032
100;5;0.25;2;2;24274;24274;0;0.116304
100;5;0.25;2;3;24274;24274;0;0.117250
100;5;0.25;2;4;24274;24274;0;0.125540
100;5;0.25;2;5;24274;24274;1;0.115976
100;5;0.25;2;6;24274;24274;0;0.121118
100;5;0.25;2;7;24274;24274;0;0.125605
100;5;0.25;2;8;24274;24274;1;0.114628
100;5;0.25;2;9;24274;24274;0;0.121769
100;5;0.25;3;0;23523;23551;0;0.129549
100;5;0.25;3;1;23523;23551;1;0.129604
100;5;0.25;3;2;23523;23551;0;0.121680
100;5;0.25;3;3;23523;23551;0;0.122408
100;5;0.25;3;4;23523;23551;0;0.136784
100;5;0.25;3;5;23523;23551;0;0.122023
100;5;0.25;3;6;23523;23551;1;0.127343
100;5;0.25;3;7;23523;23551;1;0.129049
100;5;0.25;3;8;23523;23551;0;0.178099
100;5;0.25;3;9;23523;23551;0;0.186484
100;5;0.25;4;0;23379;23534;0;0.150327
100;5;0.25;4;1;23379;23534;5;0.153734
100;5;0.25;4;2;23379;23534;1;0.167843
100;5;0.25;4;3;23379;23534;0;0.167546
100;5;0.25;4;4;23379;23534;1;0.161718
100;5;0.25;4;5;23379;23534;2;0.156581
100;5;0.25;4;6;23379;23534;1;0.169353
100;5;0.25;4;7;23379;23534;4;0.172039
100;5;0.25;4;8;23379;23534;3;0.176490
100;5;0.25;4;9;23379;23534;3;0.160392
100;5;0.25;5;0;23939;23991;2;0.210112
100;5;0.25;5;1;23939;23991;2;0.200642
100;5;0.25;5;2;23939;23991;3;0.206694
100;5;0.25;5;3;23939;23991;0;0.208261
100;5;0.25;5;4;23939;23991;0;0.202535
100;5;0.25;5;5;23939;23991;0;0.201619
100;5;0.25;5;6;23939;23991;4;0.203691
100;5;0.25;5;7;23939;23991;0;0.207317
100;5;0.25;5;8;23939;23991;1;0.198618
100;5;0.25;5;9;23939;23991;1;0.154632
100;5;0.25;6;0;24529;24613;4;0.141508
100;5;0.25;6;1;24529;24613;0;0.126357
100;5;0.25;6;2;24529;24613;0;0.125531
100;5;0.25;6;3;24529;24613;0;0.126388
100;5;0.25;6;4;24529;24613;0;0.138497
100;5;0.25;6;5;24529;24613;0;0.125340
100;5;0.25;6;6;24529;24613;0;0.128548
100;5;0.25;6;7;24529;24613;5;0.125682
100;5;0.25;6;8;24529;24613;0;0.122491
100;5;0.25;6;9;24529;24613;0;0.135455
100;5;0.25;7;0;25521;25591;0;0.135344
100;5;0.25;7;1;25521;25591;2;0.138325
100;5;0.25;7;2;25521;25591;4;0.122957
100;5;0.25;7;3;25521;25591;5;0.124716
100;5;0.25;7;4;25521;25591;0;0.123655
100;5;0.25;7;5;25521;25591;0;0.123850
100;5;0.25;7;6;25521;25591;1;0.133230
100;5;0.25;7;7;25521;25591;3;0.136240
100;5;0.25;7;8;25521;25591;0;0.122639
100;5;0.25;7;9;25521;25591;2;0.125251
100;5;0.25;8;0;23291;23410;0;0.134189
100;5;0.25;8;1;23291;23410;1;0.132845
100;5;0.25;8;2;23291;23410;0;0.131688
100;5;0.25;8;3;23291;23410;0;0.130457
100;5;0.25;8;4;23291;23410;0;0.144508
100;5;0.25;8;5;23291;23410;0;0.129280
100;5;0.25;8;6;23291;23410;1;0.147453
100;5;0.25;8;7;23291;23410;0;0.136321
100;5;0.25;8;8;23291;23410;0;0.134285
100;5;0.25;8;9;23291;23410;1;0.138550
100;5;0.25;9;0;24204;24216;2;0.143011
100;5;0.25;9;1;24204;24216;1;0.146500
100;5;0.25;9;2;24204;24216;7;0.169832
100;5;0.25;9;3;24204;24216;8;0.162211
100;5;0.25;9;4;24204;24216;4;0.193595
100;5;0.25;9;5;24204;24216;2;0.167704
100;5;0.25;9;6;24204;24216;0;0.164150
100;5;0.25;9;7;24204;24216;2;0.172723
100;5;0.25;9;8;24204;24216;13;0.186695
100;5;0.25;9;9;24204;24216;12;0.171046
100;5;0.25;10;0;24366;24411;0;0.167541
100;5;0.25;10;1;24366;24411;1;0.151666
100;5;0.25;10;2;24366;24411;3;0.143022
100;5;0.25;10;3;24366;24411;0;0.133671
100;5;0.25;10;4;24366;24411;1;0.146485
100;5;0.25;10;5;24366;24411;0;0.135334
100;5;0.25;10;6;24366;24411;0;0.134395
100;5;0.25;10;7;24366;24411;0;0.144895
100;5;0.25;10;8;24366;24411;0;0.138943
100;5;0.25;10;9;24366;24411;0;0.131675
100;5;0.50;1;0;42705;42757;3;0.169339
100;5;0.50;1;1;42705;42757;3;0.192289
100;5;0.50;1;2;42705;42757;0;0.160503
100;5;0.50;1;3;42705;42757;3;0.166800
100;5;0.50;1;4;42705;42757;3;0.169378
100;5;0.50;1;5;42705;42757;0;0.179603
100;5;0.50;1;6;42705;42757;2;0.159223
100;5;0.50;1;7;42705;42757;0;0.160333
100;5;0.50;1;8;42705;42757;0;0.164414
100;5;0.50;1;9;42705;42757;0;0.143036
