chub5
n;m;t;i;s;opt;best;iter;time
int;int;float;int;int;float;float;int;float
100;5;0.25;1;0;24316;24381;92;0.290015
100;5;0.25;1;1;24329;24381;35;0.417998
100;5;0.25;1;2;24316;24381;33;0.241595
100;5;0.25;1;3;24381;24381;263;0.411341
100;5;0.25;1;4;24316;24381;8;0.193960
100;5;0.25;1;5;24381;24381;187;0.423331
100;5;0.25;1;6;24307;24381;84;0.392676
100;5;0.25;1;7;24316;24381;25;0.211540
100;5;0.25;1;8;24316;24381;18;0.203753
100;5;0.25;1;9;24326;24381;226;0.424567
100;5;0.25;2;0;24274;24274;56;0.294741
100;5;0.25;2;1;24146;24274;63;0.276304
100;5;0.25;2;2;24225;24274;85;0.353865
100;5;0.25;2;3;24258;24274;27;0.301750
100;5;0.25;2;4;24135;24274;11;0.206369
100;5;0.25;2;5;24182;24274;148;0.316908
100;5;0.25;2;6;24274;24274;33;0.259950
100;5;0.25;2;7;24274;24274;93;0.286533
100;5;0.25;2;8;24225;24274;87;0.258190
100;5;0.25;2;9;24225;24274;38;0.286304
100;5;0.25;3;0;23523;23551;75;0.310772
100;5;0.25;3;1;23518;23551;240;0.429108
100;5;0.25;3;2;23538;23551;76;0.413672
100;5;0.25;3;3;23523;23551;26;0.269152
100;5;0.25;3;4;23538;23551;71;0.368558
100;5;0.25;3;5;23538;23551;32;0.315119
100;5;0.25;3;6;23525;23551;168;0.382267
100;5;0.25;3;7;23523;23551;39;0.254651
100;5;0.25;3;8;23525;23551;44;0.417322
100;5;0.25;3;9;23518;23551;21;0.234532
100;5;0.25;4;0;23534;23534;169;0.479466
100;5;0.25;4;1;23534;23534;282;0.473685
100;5;0.25;4;2;23473;23534;174;0.489118
100;5;0.25;4;3;23474;23534;86;0.487015
100;5;0.25;4;4;23534;23534;238;0.486967
100;5;0.25;4;5;23534;23534;34;0.485603
100;5;0.25;4;6;23534;23534;260;0.489936
100;5;0.25;4;7;23534;23534;68;0.492575
100;5;0.25;4;8;23473;23534;119;0.481637
100;5;0.25;4;9;23534;23534;41;0.479797
100;5;0.25;5;0;23928;23991;23;0.192354
100;5;0.25;5;1;23928;23991;17;0.186072
100;5;0.25;5;2;23928;23991;12;0.177485
100;5;0.25;5;3;23928;23991;15;0.177249
100;5;0.25;5;4;23928;23991;19;0.183867
100;5;0.25;5;5;23934;23991;15;0.316701
100;5;0.25;5;6;23928;23991;24;0.185019
100;5;0.25;5;7;23928;23991;11;0.171205
100;5;0.25;5;8;23928;23991;18;0.183663
100;5;0.25;5;9;23939;23991;19;0.245432
100;5;0.25;6;0;24613;24613;202;0.397574
100;5;0.25;6;1;24613;24613;25;0.366486
100;5;0.25;6;2;24601;24613;49;0.312698
100;5;0.25;6;3;24601;24613;227;0.384135
100;5;0.25;6;4;24613;24613;274;0.422216
100;5;0.25;6;5;24569;24613;58;0.353585
100;5;0.25;6;6;24594;24613;126;0.331591
100;5;0.25;6;7;24613;24613;26;0.399903
100;5;0.25;6;8;24613;24613;117;0.389517
100;5;0.25;6;9;24601;24613;64;0.332237
100;5;0.25;7;0;25476;25591;14;0.189626
100;5;0.25;7;1;25591;25591;186;0.274603
100;5;0.25;7;2;25521;25591;44;0.244725
100;5;0.25;7;3;25490;25591;56;0.310584
100;5;0.25;7;4;25591;25591;103;0.325827
100;5;0.25;7;5;25521;25591;71;0.251560
100;5;0.25;7;6;25476;25591;30;0.199283
100;5;0.25;7;7;25521;25591;294;0.277017
100;5;0.25;7;8;25521;25591;35;0.236863
100;5;0.25;7;9;25476;25591;11;0.180034
100;5;0.25;8;0;23303;23410;0;0.324615
100;5;0.25;8;1;23303;23410;30;0.385987
100;5;0.25;8;2;23367;23410;207;0.396010
100;5;0.25;8;3;23367;23410;195;0.416707
100;5;0.25;8;4;23302;23410;244;0.367118
100;5;0.25;8;5;23303;23410;2;0.286977
100;5;0.25;8;6;23367;23410;56;0.410102
100;5;0.25;8;7;23367;23410;106;0.381532
100;5;0.25;8;8;23367;23410;124;0.404638
100;5;0.25;8;9;23367;23410;204;0.360419
100;5;0.25;9;0;24180;24216;190;0.434405
100;5;0.25;9;1;24176;24216;37;0.401370
100;5;0.25;9;2;24176;24216;239;0.424092
100;5;0.25;9;3;24204;24216;101;0.420331
100;5;0.25;9;4;24180;24216;247;0.422923
100;5;0.25;9;5;24180;24216;236;0.386012
100;5;0.25;9;6;24176;24216;123;0.425377
100;5;0.25;9;7;24176;24216;60;0.398710
100;5;0.25;9;8;24176;24216;132;0.431142
100;5;0.25;9;9;24176;24216;78;0.354101
100;5;0.25;10;0;24411;24411;17;0.317906
100;5;0.25;10;1;24366;24411;104;0.408584
100;5;0.25;10;2;24411;24411;153;0.438234
100;5;0.25;10;3;24411;24411;299;0.445723
100;5;0.25;10;4;24411;24411;202;0.438894
100;5;0.25;10;5;24411;24411;225;0.441724
100;5;0.25;10;6;24411;24411;259;0.462057
100;5;0.25;10;7;24411;24411;178;0.445418
100;5;0.25;10;8;24411;24411;173;0.439420
100;5;0.25;10;9;24411;24411;294;0.448527
100;10;0.25;1;0;23050;23064;33;0.257625
100;10;0.25;1;1;23050;23064;99;0.332242
100;10;0.25;1;2;22919;23064;6;0.520531
100;10;0.25;1;3;22949;23064;172;0.432087
100;10;0.25;1;4;23050;23064;167;0.384654
100;10;0.25;1;5;23050;23064;119;0.384007
100;10;0.25;1;6;22932;23064;162;0.396048
100;10;0.25;1;7;22934;23064;165;0.394351
100;10;0.25;1;8;22915;23064;34;0.289314
100;10;0.25;1;9;23050;23064;104;0.364544
100;10;0.25;2;0;22680;22801;168;0.438110
100;10;0.25;2;1;22593;22801;122;0.411542
100;10;0.25;2;2;22801;22801;79;0.533328
100;10;0.25;2;3;22750;22801;229;0.586668
100;10;0.25;2;4;22743;22801;188;0.609213
100;10;0.25;2;5;22657;22801;114;0.402428
100;10;0.25;2;6;22706;22801;147;0.508845
100;10;0.25;2;7;22725;22801;101;0.559770
100;10;0.25;2;8;22680;22801;73;0.551089
