gk
i;s;opt;best;iter;time
int;int;float;float;int;float
01;1;3754;3766;16;0.277623
01;2;3754;3766;122;0.317905
01;3;3754;3766;134;0.390226
01;4;3754;3766;51;0.303247
01;5;3754;3766;56;0.309749
01;6;3754;3766;57;0.320571
01;7;3754;3766;36;0.277031
01;8;3754;3766;77;0.335066
01;9;3754;3766;78;0.318533
01;10;3753;3766;7;0.235903
02;1;3939;3958;166;0.552038
02;2;3934;3958;53;0.465830
02;3;3947;3958;51;0.625470
02;4;3944;3958;223;0.609666
02;5;3942;3958;195;0.541219
02;6;3936;3958;14;0.397342
02;7;3934;3958;68;0.385989
02;8;3934;3958;32;0.365220
02;9;3933;3958;26;0.316626
02;10;3942;3958;114;0.436078
03;1;5635;5656;221;0.776194
03;2;5639;5656;242;0.762662
03;3;5630;5656;167;0.774298
03;4;5637;5656;111;0.796979
03;5;5635;5656;112;0.780040
03;6;5626;5656;204;0.807727
03;7;5628;5656;98;0.796525
03;8;5637;5656;23;0.807186
03;9;5637;5656;209;0.781017
03;10;5628;5656;239;0.805950
04;1;5718;5767;173;1.592514
04;2;5714;5767;49;1.577701
04;3;5717;5767;17;1.605843
04;4;5720;5767;252;1.616104
04;5;5712;5767;132;1.574864
04;6;5712;5767;85;1.605446
04;7;5713;5767;281;1.633156
04;8;5709;5767;61;1.619962
04;9;5720;5767;141;1.610271
04;10;5715;5767;141;1.614476
05;1;7542;7558;290;0.828420
05;2;7544;7558;169;0.789845
05;3;7530;7558;162;0.848988
05;4;7533;7558;91;0.856904
05;5;7538;7558;171;0.814719
05;6;7539;7558;81;0.812482
05;7;7542;7558;236;0.820850
05;8;7538;7558;294;0.832395
05;9;7534;7558;265;0.847820
05;10;7534;7558;239;0.834921
06;1;7621;7678;258;1.686434
06;2;7626;7678;247;1.692660
06;3;7627;7678;279;1.692298
06;4;7628;7678;250;1.622820
06;5;7628;7678;273;1.647421
06;6;7617;7678;259;1.699284
06;7;7619;7678;176;1.679112
06;8;7620;7678;251;1.659132
06;9;7624;7678;31;1.639164
06;10;7629;7678;131;1.667466
07;1;19165;19218;101;1.279030
07;2;19172;19218;183;1.260950
07;3;19159;19218;137;1.286262
07;4;19159;19218;271;1.286616
07;5;19177;19218;58;1.265460
07;6;19166;19218;199;1.270648
07;7;19170;19218;280;1.268872
07;8;19161;19218;235;1.270078
07;9;19157;19218;90;1.269829
07;10;19165;19218;148;1.269063
08;1;18725;18799;298;2.050021
08;2;18720;18799;232;2.073691
08;3;18740;18799;295;2.060523
08;4;18727;18799;274;2.096738
08;5;18728;18799;40;2.047121
08;6;18730;18799;238;2.077649
08;7;18735;18799;207;2.026646
08;8;18732;18799;123;2.020869
08;9;18724;18799;280;2.115825
08;10;18724;18799;161;2.068356
09;1;57990;58986;36;2.817866
09;2;57989;58986;295;2.825484
09;3;57997;58986;46;2.855443
09;4;57990;58986;107;2.839919
09;5;57998;58986;260;2.804241
09;6;58016;58986;228;2.807126
09;7;58000;58986;62;2.808401
09;8;57989;58986;232;2.866448
09;9;57980;58986;104;2.839857
09;10;57984;58986;149;2.829856
10;1;57150;57285;229;4.232967
10;2;57134;57285;242;4.208309
10;3;57154;57285;188;4.168120
10;4;57158;57285;164;4.129948
10;5;57151;57285;268;4.159649
10;6;57146;57285;249;4.306219
10;7;57139;57285;272;4.435883
10;8;57167;57285;211;4.357338
10;9;57142;57285;296;4.350885
10;10;57155;57285;21;4.182197
11;1;94992;95219;39;12.114560
11;2;95008;95219;215;11.705778
11;3;94999;95219;2;11.870369
11;4;94988;95219;121;12.197832
11;5;95009;95219;25;12.014498
11;6;95012;95219;171;11.623806
11;7;95012;95219;148;12.057588
11;8;95016;95219;258;11.750513
11;9;94998;95219;291;12.121982
11;10;95008;95219;119;11.897528
