chub
n;m;a;i;s;opt;it;time;optcore;itcore;timecore;best
int;int;float;int;int;int;int;float;int;int;float;int
100;5;0.25;1;1;24028;224;1.080126;24304;2;0.119620;24381
100;5;0.25;1;2;23500;251;1.072173;24304;0;0.115974;24381
100;5;0.25;1;3;23736;239;1.072354;24304;1;0.116670;24381
100;5;0.25;1;4;23650;222;1.104066;24304;0;0.118809;24381
100;5;0.25;1;5;23974;273;1.106301;24304;0;0.115944;24381
100;5;0.25;1;6;23855;233;1.117807;24304;0;0.115791;24381
100;5;0.25;1;7;23253;249;1.072363;24304;2;0.115718;24381
100;5;0.25;1;8;23744;278;1.155755;24304;1;0.120459;24381
100;5;0.25;1;9;23559;289;1.092966;24304;4;0.119540;24381
100;5;0.25;1;10;23456;274;1.093469;24304;2;0.118523;24381
100;5;0.25;2;1;23116;280;1.183578;24274;0;0.120951;24274
100;5;0.25;2;2;23043;288;1.116378;24274;1;0.127504;24274
100;5;0.25;2;3;23346;279;1.128427;24274;0;0.124943;24274
100;5;0.25;2;4;22991;167;0.958113;24274;0;0.132303;24274
100;5;0.25;2;5;22926;215;1.080213;24274;0;0.129238;24274
100;5;0.25;2;6;22826;282;1.205080;24274;2;0.168728;24274
100;5;0.25;2;7;23226;202;1.107463;24274;0;0.116417;24274
100;5;0.25;2;8;23245;192;0.971075;24274;0;0.113753;24274
100;5;0.25;2;9;23250;285;1.611985;24274;0;0.143467;24274
100;5;0.25;2;10;23279;263;1.439458;24274;0;0.171656;24274
100;5;0.25;3;1;22570;170;1.211435;23523;0;0.158164;23551
100;5;0.25;3;2;22358;101;1.073548;23523;1;0.142975;23551
100;5;0.25;3;3;22958;175;1.287348;23523;1;0.162445;23551
100;5;0.25;3;4;22541;202;1.231806;23523;0;0.187485;23551
100;5;0.25;3;5;22212;201;1.319925;23523;0;0.181710;23551
100;5;0.25;3;6;22478;262;1.224788;23523;0;0.181202;23551
100;5;0.25;3;7;22578;141;1.051410;23523;2;0.124678;23551
100;5;0.25;3;8;22776;167;1.247265;23523;1;0.183356;23551
100;5;0.25;3;9;22895;243;1.316442;23523;0;0.183608;23551
100;5;0.25;3;10;22656;178;1.365525;23523;0;0.182427;23551
100;5;0.25;4;1;22944;217;1.166601;23379;0;0.234918;23534
100;5;0.25;4;2;22952;256;0.982603;23379;2;0.197739;23534
100;5;0.25;4;3;22878;202;0.940287;23379;2;0.193012;23534
100;5;0.25;4;4;22511;69;1.227101;23379;7;0.216170;23534
100;5;0.25;4;5;22940;206;1.183845;23379;5;0.200484;23534
100;5;0.25;4;6;22748;288;1.313446;23379;3;0.202625;23534
100;5;0.25;4;7;22638;128;1.085980;23379;8;0.207738;23534
100;5;0.25;4;8;22787;170;1.178899;23379;0;0.236661;23534
100;5;0.25;4;9;22745;195;1.123732;23379;1;0.197348;23534
100;5;0.25;4;10;22885;144;0.876653;23379;0;0.194432;23534
100;5;0.50;1;1;41329;267;1.591791;42705;0;0.195718;42757
100;5;0.50;1;2;41412;273;1.344822;42705;1;0.193078;42757
100;5;0.50;1;3;41561;292;1.522468;42705;0;0.200141;42757
100;5;0.50;1;4;41494;295;1.557649;42705;0;0.191887;42757
100;5;0.50;1;5;41213;184;1.421651;42705;0;0.198363;42757
100;5;0.50;1;6;41728;284;1.513145;42705;11;0.169611;42757
100;5;0.50;1;7;41873;299;1.425273;42705;0;0.154514;42757
100;5;0.50;1;8;41794;295;1.273379;42705;1;0.257107;42757
