gk
i;s;n;m;opt;it;time;optcore;itcore;timecore;best
int;int;int;int;int;int;float;int;int;float;int
01;1;100;15;3681;265;1.500080;3741;0;0.083385;3766
01;2;100;15;3689;261;1.435667;3729;0;0.085607;3766
01;3;100;15;3670;290;1.500069;3742;0;0.082699;3766
01;4;100;15;3676;190;1.451115;3739;0;0.076259;3766
01;5;100;15;3683;179;1.459536;3743;0;0.080480;3766
01;6;100;15;3671;251;1.471668;3735;0;0.082570;3766
01;7;100;15;3681;217;1.451454;3737;0;0.084430;3766
01;8;100;15;3681;222;1.427880;3742;0;0.081858;3766
01;9;100;15;3668;265;1.520218;3732;0;0.078145;3766
01;10;100;15;3679;187;1.461439;3735;0;0.080253;3766
02;1;100;25;3870;286;1.632705;3917;0;0.085426;3958
02;2;100;25;3884;246;1.602801;3909;0;0.087991;3958
02;3;100;25;3882;285;1.583609;3900;0;0.083216;3958
02;4;100;25;3888;207;1.628154;3909;0;0.085347;3958
02;5;100;25;3885;253;1.604818;3914;0;0.085021;3958
02;6;100;25;3879;135;1.573064;3924;0;0.085132;3958
02;7;100;25;3868;246;1.671563;3913;0;0.087104;3958
02;8;100;25;3872;231;1.588243;3924;0;0.092564;3958
02;9;100;25;3866;191;1.605154;3907;0;0.086134;3958
02;10;100;25;3871;284;1.635710;3942;0;0.087156;3958
03;1;150;25;5507;226;2.453176;5607;0;0.088867;5656
03;2;150;25;5509;257;2.381331;5615;0;0.092965;5656
03;3;150;25;5491;227;2.510655;5594;0;0.082423;5656
03;4;150;25;5500;248;2.510200;5611;0;0.087107;5656
03;5;150;25;5502;268;2.454262;5609;0;0.087726;5656
03;6;150;25;5488;276;2.506510;5594;0;0.088847;5656
03;7;150;25;5490;255;2.447965;5614;0;0.086180;5656
03;8;150;25;5478;252;2.580348;5604;0;0.088117;5656
03;9;150;25;5514;164;2.595295;5597;0;0.086219;5656
03;10;150;25;5507;238;2.690362;5599;0;0.087567;5656
04;1;150;50;5603;133;3.618424;5683;0;0.098018;5767
04;2;150;50;5641;287;3.294557;5695;0;0.091313;5767
04;3;150;50;5608;43;3.597143;5687;0;0.090854;5767
04;4;150;50;5618;294;3.350405;5678;0;0.088574;5767
04;5;150;50;5626;288;3.501408;5687;0;0.095811;5767
04;6;150;50;5623;264;3.441542;5672;0;0.088645;5767
04;7;150;50;5605;132;3.641324;5674;0;0.097054;5767
04;8;150;50;5619;288;3.700497;5690;0;0.092740;5767
04;9;150;50;5621;251;3.655057;5670;0;0.092269;5767
04;10;150;50;5605;30;3.831197;5680;0;0.092125;5767
05;1;200;25;7339;266;3.536307;7504;0;0.083860;7558
05;2;200;25;7317;96;3.467857;7499;0;0.093636;7558
05;3;200;25;7307;85;3.669397;7500;0;0.090689;7558
05;4;200;25;7341;196;3.481942;7502;0;0.092021;7558
05;5;200;25;7324;299;3.396851;7508;0;0.098438;7558
05;6;200;25;7308;240;3.617869;7500;0;0.090839;7558
05;7;200;25;7324;268;3.513291;7505;0;0.091055;7558
05;8;200;25;7329;145;3.629106;7500;0;0.091660;7558
05;9;200;25;7322;100;3.501798;7501;0;0.096568;7558
05;10;200;25;7310;187;3.669703;7517;0;0.109215;7558
06;1;200;50;7503;244;4.687750;7618;0;0.097459;7678
06;2;200;50;7497;200;4.445182;7590;0;0.101289;7678
06;3;200;50;7476;245;4.622901;7582;0;0.099190;7678
06;4;200;50;7500;267;4.682034;7607;0;0.113507;7678
06;5;200;50;7499;184;4.761254;7596;0;0.102566;7678
06;6;200;50;7499;169;4.853940;7588;0;0.098539;7678
06;7;200;50;7505;280;4.836804;7587;0;0.100391;7678
06;8;200;50;7518;220;4.596213;7589;0;0.095173;7678
06;9;200;50;7502;286;5.492183;7604;0;0.112439;7678
06;10;200;50;7502;212;5.111574;7577;0;0.094488;7678
07;1;500;25;18675;249;7.381715;19116;0;0.104976;19218
07;2;500;25;18673;299;7.381618;19123;0;0.105166;19218
07;3;500;25;18657;270;7.486985;19135;0;0.099807;19218
07;4;500;25;18650;249;7.577343;19131;0;0.102477;19218
07;5;500;25;18659;235;7.804899;19119;0;0.104306;19218
07;6;500;25;18658;276;7.401283;19144;0;0.108132;19218
07;7;500;25;18665;275;7.002785;19137;0;0.096838;19218
07;8;500;25;18657;162;7.011630;19130;0;0.102666;19218
07;9;500;25;18642;181;7.062774;19126;0;0.103549;19218
07;10;500;25;18703;288;6.885698;19137;0;0.104266;19218
08;1;500;50;18317;231;11.326140;18669;0;0.110744;18799
08;2;500;50;18281;266;11.557038;18689;0;0.116107;18799
08;3;500;50;18280;24;11.704101;18674;0;0.114023;18799
08;4;500;50;18290;102;11.708792;18683;0;0.105788;18799
08;5;500;50;18275;282;11.967868;18650;0;0.124517;18799
08;6;500;50;18291;168;13.205285;18649;0;0.119919;18799
08;7;500;50;18284;197;13.258162;18676;0;0.103580;18799
08;8;500;50;18267;261;12.770065;18677;0;0.108018;18799
08;9;500;50;18295;274;12.432142;18689;0;0.105762;18799
08;10;500;50;18281;159;12.052839;18672;0;0.109604;18799
09;1;1500;25;56353;279;21.896212;57932;0;0.110742;58986
09;2;1500;25;56242;282;23.180822;57928;0;0.112395;58986
09;3;1500;25;56379;299;24.562204;57954;0;0.120604;58986
09;4;1500;25;56319;282;25.065355;57964;0;0.121953;58986
09;5;1500;25;56233;281;26.460081;57929;0;0.120931;58986
09;6;1500;25;56211;251;25.342068;57931;0;0.119952;58986
09;7;1500;25;56293;213;24.661436;57931;0;0.131547;58986
09;8;1500;25;56277;261;23.938095;57919;0;0.112511;58986
09;9;1500;25;56202;297;25.348148;57933;0;0.116526;58986
09;10;1500;25;56237;253;25.597824;57940;0;0.120753;58986
10;1;1500;50;55833;219;35.958649;57071;0;0.122574;57285
10;2;1500;50;55888;280;33.532162;57068;0;0.126609;57285
10;3;1500;50;55845;227;33.426388;57102;0;0.114200;57285
10;4;1500;50;55852;221;33.329323;57066;0;0.123335;57285
10;5;1500;50;55873;211;33.033737;57083;0;0.128959;57285
10;6;1500;50;55837;264;32.712368;57076;0;0.117109;57285
10;7;1500;50;55884;230;31.515333;57087;0;0.155813;57285
10;8;1500;50;55807;278;36.914150;57072;0;0.118495;57285
10;9;1500;50;55856;281;33.997585;57057;0;0.129493;57285
10;10;1500;50;55863;225;33.446804;57092;0;0.124898;57285
11;1;2500;100;93296;76;150.944809;94932;0;0.156617;95219
11;2;2500;100;93266;21;134.181259;94934;0;0.149851;95219
11;3;2500;100;93220;200;126.177299;94947;0;0.142878;95219
