bazeff
inst;sample;hvol
string;int;float
A-700-2;10;7.993e+10
A-700-2;1;8.249e+10
A-700-2;2;8.048e+10
A-700-2;3;8.001e+10
A-700-2;4;8.402e+10
A-700-2;5;7.885e+10
A-700-2;6;8.372e+10
A-700-2;7;7.890e+10
A-700-2;8;8.197e+10
A-700-2;9;8.320e+10
B-4000-2;10;2.919e+12
B-4000-2;1;2.952e+12
B-4000-2;2;3.041e+12
B-4000-2;3;3.004e+12
B-4000-2;4;3.130e+12
B-4000-2;5;2.962e+12
B-4000-2;6;3.039e+12
B-4000-2;7;3.078e+12
B-4000-2;8;3.011e+12
B-4000-2;9;2.989e+12
C-500-2;10;3.891e+10
C-500-2;1;3.967e+10
C-500-2;2;4.028e+10
C-500-2;3;3.945e+10
C-500-2;4;3.947e+10
C-500-2;5;4.017e+10
C-500-2;6;4.009e+10
C-500-2;7;3.931e+10
C-500-2;8;3.840e+10
C-500-2;9;3.991e+10
D-200-2;10;4.699e+09
D-200-2;1;4.706e+09
D-200-2;2;4.854e+09
D-200-2;3;4.635e+09
D-200-2;4;4.647e+09
D-200-2;5;4.857e+09
D-200-2;6;4.720e+09
D-200-2;7;4.820e+09
-200-2;8;4.662e+09
D-200-2;9;4.795e+09
