scemokp1
inst;sample;seed;time;nd;hvol;ncomp
string;int;int;float;int;float;int
A-700-2;1;4;140.140;293;7.900e+10;3253018919
A-700-2;1;5;140.555;290;7.927e+10;3261617193
A-700-2;1;7;141.326;326;7.913e+10;3247621969
A-700-2;1;9;142.245;272;7.923e+10;3233181771
A-700-2;2;1;140.332;304;7.742e+10;3240006161
D-200-2;2;7;105.893;1190;4.423e+09;2846130496
B-4000-2;2;7;290.960;3;2.870e+12;3383080859
B-4000-2;2;4;291.263;3;2.868e+12;3391921762
B-4000-2;2;10;291.899;1;2.868e+12;3407852739
D-200-2;3;6;105.893;1321;4.272e+09;2869785137
D-200-2;3;8;105.814;1320;4.296e+09;2871011925
C-500-2;4;2;125.533;698;3.674e+10;3101744667
B-4000-2;3;10;294.015;2;2.829e+12;3392101706
A-700-2;4;5;139.879;321;8.078e+10;3231298513
C-500-2;5;8;125.036;691;3.771e+10;3075093631
B-4000-2;4;6;291.180;3;2.954e+12;3382354645
B-4000-2;4;5;292.041;3;2.952e+12;3386424466
D-200-2;5;4;105.839;1367;4.553e+09;2872518814
C-500-2;6;4;124.964;772;3.726e+10;3062264389
C-500-2;6;2;126.410;639;3.754e+10;3105118187
B-4000-2;5;2;293.657;1;2.796e+12;3393596541
A-700-2;6;7;140.794;285;8.059e+10;3267248426
A-700-2;6;10;140.496;273;8.008e+10;3255830528
D-200-2;6;5;106.331;1216;4.361e+09;2863386113
B-4000-2;6;6;293.016;1;2.863e+12;3399513659
A-700-2;7;1;140.147;295;7.519e+10;3247248210
C-500-2;8;1;125.885;779;3.578e+10;3080311593
C-500-2;8;7;125.873;579;3.564e+10;3102340075
B-4000-2;7;7;293.162;1;2.894e+12;3391292969
B-4000-2;7;5;294.290;3;2.900e+12;3400973180
D-200-2;8;6;105.917;1217;4.297e+09;2862930739
A-700-2;8;7;140.231;288;7.832e+10;3249909883
C-500-2;9;4;124.833;623;3.778e+10;3063133826
C-500-2;9;3;126.770;648;3.772e+10;3079287376
A-700-2;9;1;139.895;297;8.034e+10;3226947947
D-200-2;9;1;105.871;1172;4.486e+09;2858005053
A-700-2;9;8;139.320;317;7.950e+10;3227760371
C-500-2;10;7;126.033;653;3.637e+10;3081499572
B-4000-2;9;10;294.407;4;2.811e+12;3396780957
D-200-2;10;5;103.319;1142;4.330e+09;2860363674
B-4000-2;10;1;288.405;1;2.750e+12;3389918324
B-4000-2;10;6;285.488;3;2.748e+12;3388437559
D-200-2;1;3;105.782;1310;4.360e+09;2857912464
D-200-2;1;1;105.961;1204;4.338e+09;2852150856
A-700-2;1;6;140.153;267;7.873e+10;3236396406
A-700-2;1;8;140.645;305;7.922e+10;3238902067
D-200-2;1;7;105.960;1334;4.380e+09;2876242421
D-200-2;1;8;106.179;1259;4.395e+09;2856819778
A-700-2;2;5;140.818;293;7.700e+10;3235990262
A-700-2;2;3;141.239;282;7.688e+10;3248550421
B-4000-2;2;8;291.452;4;2.867e+12;3390283337
B-4000-2;2;5;299.877;3;2.868e+12;3403391557
C-500-2;3;10;126.674;597;3.663e+10;3127824511
D-200-2;3;9;105.987;1329;4.299e+09;2861374040
C-500-2;4;3;125.832;653;3.638e+10;3100605956
C-500-2;4;6;127.251;619;3.733e+10;3107774370
B-4000-2;3;1;294.060;4;2.829e+12;3400139987
A-700-2;4;9;141.651;296;8.056e+10;3250471549
D-200-2;4;2;105.699;1180;4.327e+09;2864272885
D-200-2;4;3;105.822;1205;4.349e+09;2880221573
B-4000-2;4;9;292.416;5;2.951e+12;3396034311
C-500-2;6;6;125.634;708;3.750e+10;3076668192
B-4000-2;5;5;293.186;3;2.792e+12;3400374380
B-4000-2;5;7;302.499;3;2.795e+12;3401024778
B-4000-2;5;9;294.509;2;2.790e+12;3405845327
D-200-2;6;2;106.012;1445;4.423e+09;2849309751
D-200-2;6;7;106.412;1419;4.345e+09;2860962293
D-200-2;6;9;105.797;1521;4.396e+09;2853302727
C-500-2;7;5;124.598;612;3.681e+10;3071646870
C-500-2;7;8;126.543;634;3.667e+10;3104861247
A-700-2;7;3;141.941;316;7.527e+10;3241768556
A-700-2;7;5;139.904;309;7.584e+10;3235458125
D-200-2;7;1;106.031;1202;4.522e+09;2882337106
D-200-2;7;4;106.250;1184;4.525e+09;2868679287
C-500-2;8;10;126.604;759;3.563e+10;3082839908
D-200-2;8;10;106.118;1282;4.303e+09;2856774897
B-4000-2;8;1;294.653;3;2.846e+12;3378229898
B-4000-2;8;3;291.539;1;2.837e+12;3386193330
B-4000-2;8;9;292.215;2;2.842e+12;3392367968
A-700-2;9;6;139.785;321;7.982e+10;3234856153
D-200-2;9;3;106.525;1493;4.477e+09;2887095157
D-200-2;9;9;106.149;1387;4.460e+09;2880744721
C-500-2;10;5;124.781;649;3.614e+10;3065396419
A-700-2;10;5;139.869;292;7.597e+10;3235680913
D-200-2;10;1;106.295;1444;4.282e+09;2876075814
B-4000-2;10;2;287.691;2;2.751e+12;3396534725
B-4000-2;10;9;285.512;1;2.758e+12;3387855902
D-200-2;1;4;105.502;1235;4.302e+09;2856106892
D-200-2;10;10;106.108;1232;4.384e+09;2867693820
D-200-2;1;2;106.244;1334;4.458e+09;2862367759
A-700-2;1;10;133.226;312;7.912e+10;3218995311
D-200-2;1;9;105.800;1268;4.410e+09;2863537320
D-200-2;1;6;106.456;1316;4.319e+09;2872456003
D-200-2;1;10;106.589;1242;4.398e+09;2879084729
A-700-2;2;4;133.398;306;7.730e+10;3230754291
A-700-2;2;2;140.019;334;7.710e+10;3228645520
A-700-2;2;6;141.211;300;7.710e+10;3237652266
B-4000-2;2;2;290.279;2;2.872e+12;3392536802
C-500-2;3;8;127.297;550;3.716e+10;3136211793
C-500-2;3;9;125.772;617;3.676e+10;3119761883
D-200-2;3;4;106.143;1273;4.307e+09;2862276023
C-500-2;4;4;126.083;624;3.719e+10;3084523800
C-500-2;4;5;126.162;642;3.706e+10;3087866778
B-4000-2;3;2;301.939;2;2.828e+12;3398590803
D-200-2;4;1;105.679;1217;4.364e+09;2866481423
A-700-2;4;10;139.584;297;8.089e+10;3232101996
C-500-2;5;4;125.479;618;3.783e+10;3068518579
B-4000-2;4;1;291.277;2;2.957e+12;3383979539
A-700-2;5;10;139.792;331;7.548e+10;3217452800
D-200-2;5;6;105.479;1248;4.528e+09;2878214065
B-4000-2;5;6;292.846;4;2.789e+12;3389947267
B-4000-2;5;8;293.333;2;2.796e+12;3396880982
A-700-2;6;2;140.274;336;8.080e+10;3238976457
D-200-2;6;8;105.649;1481;4.389e+09;2856827781
C-500-2;7;4;126.275;606;3.691e+10;3086983587
C-500-2;7;10;124.875;664;3.715e+10;3098528166
B-4000-2;6;10;293.377;5;2.864e+12;3404960498
A-700-2;7;4;139.971;324;7.564e+10;3229216770
A-700-2;7;10;140.397;300;7.553e+10;3230486798
D-200-2;7;7;106.378;1349;4.480e+09;2895811039
C-500-2;8;6;126.108;649;3.629e+10;3103167403
C-500-2;8;9;126.166;652;3.612e+10;3102184941
A-700-2;8;3;140.486;299;7.839e+10;3248219075
A-700-2;8;2;140.896;302;7.828e+10;3258744516
D-200-2;8;2;105.781;1284;4.290e+09;2867502774
D-200-2;8;9;105.834;1303;4.327e+09;2851517794
C-500-2;9;8;124.289;672;3.751e+10;3067866886
C-500-2;9;9;124.804;692;3.751e+10;3065106341
A-700-2;9;4;142.588;305;7.990e+10;3243005919
D-200-2;9;5;106.388;1387;4.427e+09;2878228550
D-200-2;9;7;106.833;1442;4.469e+09;2880181545
B-4000-2;9;3;293.136;3;2.813e+12;3400676990
A-700-2;10;1;140.362;295;7.656e+10;3250872543
A-700-2;10;3;140.489;316;7.628e+10;3243745601
D-200-2;10;7;114.333;1380;4.346e+09;2858773699
B-4000-2;10;4;288.343;4;2.749e+12;3388272822
D-200-2;1;5;106.522;1482;4.375e+09;2862012847
C-500-2;1;2;124.904;696;3.692e+10;3083282542
C-500-2;1;3;125.122;719;3.701e+10;3086762135
C-500-2;1;1;126.021;691;3.699e+10;3075333203
C-500-2;2;1;126.229;632;3.794e+10;3089709380
C-500-2;2;2;124.838;631;3.802e+10;3076556217
C-500-2;2;3;125.905;614;3.790e+10;3098328956
C-500-2;2;7;126.350;719;3.778e+10;3095902272
D-200-2;2;2;106.019;1361;4.492e+09;2868790273
D-200-2;2;6;106.376;1393;4.478e+09;2868050909
A-700-2;2;7;140.234;300;7.617e+10;3236472546
A-700-2;2;8;139.636;299;7.667e+10;3228378756
A-700-2;3;1;136.962;240;7.703e+10;3288292056
B-4000-2;3;3;294.997;5;2.830e+12;3399998855
C-500-2;4;8;126.164;552;3.682e+10;3105182999
B-4000-2;3;8;294.189;5;2.831e+12;3398083098
B-4000-2;3;9;294.431;2;2.826e+12;3400728954
D-200-2;4;8;105.260;1209;4.387e+09;2861285541
C-500-2;5;2;124.984;682;3.695e+10;3067623146
C-500-2;5;1;125.638;621;3.760e+10;3086905524
C-500-2;5;5;126.585;670;3.746e+10;3096286862
A-700-2;5;2;138.893;326;7.588e+10;3215543674
D-200-2;5;1;106.877;1477;4.515e+09;2880326298
A-700-2;5;8;139.864;307;7.566e+10;3221863070
A-700-2;5;7;140.263;341;7.555e+10;3228647821
C-500-2;6;8;125.112;592;3.743e+10;3091725918
C-500-2;7;1;125.731;593;3.669e+10;3075734590
B-4000-2;6;3;293.562;1;2.865e+12;3408212871
B-4000-2;6;7;293.087;4;2.856e+12;3391523760
B-4000-2;6;8;293.751;6;2.858e+12;3397272518
A-700-2;7;7;140.403;337;7.527e+10;3247344432
D-200-2;7;9;106.421;1233;4.516e+09;2880836554
C-500-2;8;3;126.192;672;3.572e+10;3090895454
C-500-2;8;4;125.773;672;3.589e+10;3093079375
A-700-2;8;5;140.889;296;7.807e+10;3253803587
A-700-2;8;10;140.096;261;7.767e+10;3247603802
A-700-2;8;9;143.289;317;7.855e+10;3254094970
B-4000-2;8;5;293.359;4;2.834e+12;3391936924
A-700-2;9;3;139.696;344;7.925e+10;3233528756
A-700-2;9;5;140.182;330;7.953e+10;3237176441
C-500-2;10;2;125.952;630;3.645e+10;3068034263
B-4000-2;9;1;295.681;3;2.814e+12;3403223946
C-500-2;10;9;125.807;580;3.626e+10;3081792946
C-500-2;10;10;125.379;718;3.655e+10;3069905655
D-200-2;10;3;105.436;1234;4.395e+09;2837779860
A-700-2;10;9;140.487;313;7.645e+10;3228928768
D-200-2;10;8;105.386;1224;4.370e+09;2864019833
D-200-2;10;9;105.340;1125;4.327e+09;2853545595
C-500-2;1;7;125.585;652;3.728e+10;3094760347
C-500-2;1;5;125.753;759;3.731e+10;3079555178
C-500-2;1;9;126.097;606;3.742e+10;3114835506
C-500-2;1;4;126.441;515;3.722e+10;3120962394
C-500-2;2;5;124.953;620;3.774e+10;3088480296
C-500-2;2;8;124.169;701;3.785e+10;3066696460
C-500-2;2;6;126.362;690;3.782e+10;3103430432
C-500-2;2;10;125.530;705;3.777e+10;3077002656
D-200-2;2;5;106.124;1263;4.485e+09;2857188318
D-200-2;2;4;106.301;1361;4.490e+09;2862498999
A-700-2;2;9;139.698;291;7.716e+10;3226211997
A-700-2;2;10;139.882;326;7.662e+10;3241926839
A-700-2;3;2;140.321;270;7.729e+10;3289844932
A-700-2;3;3;141.558;245;7.701e+10;3292903963
B-4000-2;3;7;293.756;3;2.829e+12;3407745314
B-4000-2;3;6;295.535;1;2.826e+12;3404022559
D-200-2;4;6;106.351;1216;4.369e+09;2884056957
C-500-2;5;3;126.706;604;3.796e+10;3086697495
B-4000-2;4;2;291.044;4;2.953e+12;3398023558
B-4000-2;4;3;291.588;2;2.955e+12;3400237651
A-700-2;5;5;134.499;327;7.526e+10;3228734774
A-700-2;5;9;140.074;288;7.544e+10;3224506784
D-200-2;5;7;105.957;1182;4.509e+09;2874131267
D-200-2;5;9;106.234;1413;4.497e+09;2881823893
C-500-2;6;7;126.629;619;3.773e+10;3103975865
A-700-2;6;3;140.123;305;8.046e+10;3248963698
A-700-2;6;5;140.457;310;8.042e+10;3263024926
D-200-2;6;10;106.062;1395;4.395e+09;2854919289
B-4000-2;6;9;292.601;4;2.870e+12;3408862271
A-700-2;7;6;140.393;316;7.581e+10;3232562529
C-500-2;8;5;125.903;631;3.609e+10;3115199598
B-4000-2;7;1;291.790;4;2.899e+12;3398317270
B-4000-2;7;3;293.938;5;2.901e+12;3400236343
D-200-2;8;1;106.086;1284;4.328e+09;2865166029
D-200-2;8;3;105.193;1193;4.323e+09;2844805853
D-200-2;8;8;105.682;1376;4.315e+09;2856171053
B-4000-2;8;2;291.793;1;2.838e+12;3379116096
D-200-2;9;4;106.231;1363;4.458e+09;2869938543
B-4000-2;9;2;292.619;3;2.816e+12;3398972035
B-4000-2;9;5;293.568;5;2.813e+12;3404614271
B-4000-2;9;9;293.937;2;2.815e+12;3409384174
D-200-2;10;4;101.801;1121;4.302e+09;2857078212
B-4000-2;10;10;283.951;5;2.746e+12;3399149924
C-500-2;1;8;125.572;648;3.664e+10;3090407265
C-500-2;1;6;127.051;662;3.711e+10;3090402176
C-500-2;2;4;125.219;658;3.791e+10;3071513587
B-4000-2;1;1;292.633;6;2.784e+12;3403404300
B-4000-2;1;3;292.933;5;2.780e+12;3395996844
D-200-2;2;1;106.416;1293;4.468e+09;2863626322
B-4000-2;2;1;291.363;3;2.866e+12;3384625723
C-500-2;3;4;125.395;640;3.672e+10;3107304024
C-500-2;3;2;126.427;567;3.712e+10;3127782404
A-700-2;3;7;138.945;270;7.682e+10;3285918883
A-700-2;3;8;140.584;260;7.723e+10;3281108097
A-700-2;3;9;140.645;257;7.747e+10;3289310894
B-4000-2;3;4;293.620;2;2.835e+12;3409818435
