mokp
ndim;t;m;n;i;nd;ncomp;time;maxnd
int;int;int;int;int;int;int;float;int
0;1;2;10;0;4;1994;0.000;14
0;1;2;30;3;29;7773407;0.031;606
3;3;2;30;0;103;381134;0.131;2121
3;1;2;70;3;90;2942917;2.449;5534
0;1;2;90;8;214;24866930363;644.608;24967
3;3;3;40;1;1874;8404506;20.934;36785
3;3;3;40;3;2772;13934972;49.024;58477
0;1;3;70;0;1226;362863208328;13532.331;100795
0;1;2;110;8;255;202762912021;7649.055;61180
3;3;3;60;4;10568;160472547;4901.971;388313
3;1;2;10;3;5;843;0.000;26
3;1;2;10;0;4;424;0.000;14
0;1;2;10;2;3;1351;0.000;13
3;1;2;30;5;22;49582;0.008;422
3;1;2;30;9;21;50315;0.008;416
3;1;2;50;8;36;440345;0.129;1643
0;1;2;50;5;23;60818136;0.269;1442
3;1;2;50;9;75;1079050;0.557;3725
0;3;2;40;2;107;337346362;1.945;4409
3;1;2;70;7;97;4935427;7.230;11018
0;3;2;50;4;94;754471023;4.558;4903
3;1;2;90;9;185;14565435;111.821;22061
3;3;2;60;7;292;12432504;109.273;28137
3;1;3;50;9;470;5225667;7.209;21236
3;3;3;30;2;679;1502333;1.053;8381
3;3;3;30;3;646;1919561;1.244;15999
3;1;2;110;0;159;21289439;226.733;29570
0;3;3;30;4;729;967203788;6.002;9393
0;3;3;30;6;1324;4326985493;101.617;18261
0;3;3;30;7;1744;4671402514;111.402;19228
3;3;2;20;2;41;28259;0.004;343
0;1;2;50;1;63;304547631;1.662;2961
0;1;3;70;7;2291;263468477863;10183.872;103042
0;1;3;70;6;3413;1447712698298;60686.469;234049
0;1;2;10;1;3;854;0.000;7
3;1;2;10;4;4;640;0.000;22
3;1;2;10;5;4;562;0.000;22
3;1;2;10;1;3;247;0.000;8
0;1;2;10;3;5;6188;0.000;26
3;1;2;30;3;29;103616;0.033;606
0;1;2;30;4;20;2961794;0.023;405
3;1;2;30;6;33;100702;0.037;720
0;1;2;30;8;28;3451480;0.026;424
3;3;2;20;8;45;28900;0.006;315
3;3;2;20;9;25;19376;0.003;226
0;3;2;30;1;59;13984593;0.055;856
0;1;2;50;9;75;408376164;2.209;3724
3;1;2;70;0;87;2479682;1.660;6164
3;3;2;40;9;86;664807;0.253;2762
3;1;2;70;1;82;4693841;4.616;12603
3;3;2;50;1;125;2284587;1.706;6896
