mokp
cls;ndim;m;n;i;nd;comp;time;maxnd
char;int;int;int;int;int;int;float;int
A;2;2;40;10;33;157758;0.043;645
A;2;2;60;2;43;805117;0.224;2311
A;2;2;60;1;67;2091787;1.062;6296
A;1;2;60;1;68;57006597;1.185;6514
A;2;2;60;7;94;2938277;2.223;8982
A;2;2;100;2;108;10756139;16.564;15218
A;1;2;80;8;183;651813400;24.733;16337
A;1;2;100;2;111;822414447;27.786;15366
A;1;2;100;5;181;1133107501;45.690;21819
A;2;2;120;4;227;32024554;179.213;39576
C;1;2;40;10;103;27993967;0.511;4037
C;1;2;60;2;350;653761942;26.021;14695
C;2;2;60;6;196;5085877;8.150;11370
C;1;2;60;8;186;310442210;7.759;9639
C;2;2;60;10;201;6406927;10.755;15446
A;2;2;120;1;239;53358270;414.069;59106
A;2;2;120;6;248;42756914;509.237;45406
C;2;2;80;2;418;26265638;318.203;46552
A;2;2;120;9;291;47018038;602.558;57469
C;2;2;100;8;430;54047084;977.726;75721
D;1;2;40;9;492;4661648290;375.215;48719
C;2;2;100;5;462;67176308;1492.238;86285
A;1;3;50;4;552;593229631;25.041;17728
A;2;3;50;4;551;217960138;12.777;17669
A;3;3;50;4;551;4704612;4.448;17669
A;1;3;50;5;561;808057193;30.559;17506
A;3;3;50;8;524;4570139;3.483;13576
A;2;3;50;9;470;324552237;15.826;21236
A;1;3;50;10;362;351619188;10.979;11820
A;3;3;50;10;359;4284421;2.528;11747
D;2;2;50;7;483;33431193;935.869;80622
A;1;3;60;1;1389;6534727643;523.766;52972
A;2;3;60;5;1406;1687624201;172.507;42094
A;1;3;60;7;1341;4786042599;389.791;54497
A;2;3;60;10;549;550255556;35.774;27033
A;3;3;70;2;1070;37568080;185.347;81362
A;2;3;70;7;2291;8333778103;914.158;103042
A;2;3;70;8;1615;4199911776;418.695;79354
C;3;3;20;1;283;107447;0.019;1197
C;1;3;20;1;283;2196566;0.035;1197
C;3;3;20;3;177;80876;0.012;905
C;2;3;20;4;133;399662;0.015;834
C;2;3;20;6;211;358761;0.031;1598
C;2;3;20;5;366;2820754;0.090;2018
C;3;3;20;7;311;240754;0.049;2769
C;3;3;20;8;160;178550;0.033;1878
C;3;3;20;9;102;84356;0.013;938
C;2;3;20;10;454;2319134;0.087;2033
C;1;3;30;2;685;134922201;3.417;8394
C;1;3;30;3;651;219714101;6.824;16113
C;1;3;30;9;693;126417522;3.313;11091
C;1;3;30;7;1765;507015860;18.758;19300
C;1;3;40;1;1887;2354892417;118.658;36891
C;2;3;40;3;2772;1005283699;119.685;58477
C;3;3;40;6;3244;19579783;47.412;68761
C;1;3;40;8;3445;4213246269;313.833;47368
A;2;4;40;2;630;79500512;3.760;14839
A;3;4;40;2;630;26734214;2.322;14839
A;2;4;40;3;947;400297608;18.501;22212
A;3;4;40;4;653;19068111;2.329;10058
A;4;4;40;4;653;2883907;1.701;10058
C;1;3;40;7;3364;5226809406;398.088;55619
A;1;4;40;6;650;116703210;3.096;10856
A;4;4;40;6;649;2028842;0.875;10825
A;2;4;40;7;1043;69624082;3.462;13263
A;3;4;40;5;2027;355846676;31.836;35399
A;1;4;40;8;975;487465951;16.576;15310
A;3;4;40;9;648;7880104;2.881;13559
A;4;4;40;10;1667;9471518;12.054;38252
C;1;4;30;3;1784;447281247;16.086;20107
A;2;4;50;1;3305;15826422274;1562.558;122036
A;1;3;80;7;3365;88162497801;8093.072;184146
A;2;3;80;6;5017;178241888376;22253.936;411807
A;1;2;60;2;43;14057638;0.249;2352
A;2;2;60;4;62;1058246;0.353;2741
A;2;2;60;3;71;1525291;0.651;3437
A;1;2;60;3;75;45242741;0.748;3447
A;1;2;80;10;112;152139520;3.309;8058
A;2;2;80;8;181;7560118;13.474;16157
A;1;2;80;7;159;1274262533;56.349;20392
A;2;2;100;1;192;25719749;101.493;36455
B;1;2;100;1;0;20;0.000;1
B;1;2;100;2;2;667383;0.034;934
B;2;2;100;2;2;379816;0.122;912
B;1;2;100;3;3;133508;0.009;345
B;2;2;100;3;3;102862;0.023;344
B;1;2;100;4;5;431575;0.027;638
B;1;2;100;5;3;455506;0.025;699
B;2;2;100;5;3;282720;0.075;676
B;1;2;100;6;5;246393;0.016;609
B;1;2;100;7;0;4;0.000;0
B;1;2;100;8;0;29;0.000;2
B;1;2;100;9;8;627325;0.035;767
B;1;2;100;10;5;562886;0.032;697
B;2;2;100;10;4;330881;0.089;685
B;1;2;150;1;12;2489685;0.125;2087
B;2;2;150;1;12;1287989;0.578;1978
B;1;2;150;2;5;5245598;0.243;3027
B;1;2;150;3;2;1227884;0.072;1162
B;1;2;150;4;8;4572322;0.272;2575
B;2;2;150;4;8;2484201;1.315;2546
B;1;2;150;5;9;5164427;0.210;2334
B;2;2;150;5;9;1907882;0.867;2256
B;1;2;150;6;7;1516277;0.085;1189
B;2;2;150;6;7;839660;0.317;1140
B;1;2;150;7;9;5165088;0.253;3009
B;2;2;150;7;9;2485497;1.565;2976
B;2;2;150;10;10;1618878;0.692;2080
B;2;2;200;1;8;8052115;8.455;8758
B;2;2;200;6;6;3023458;2.140;2954
B;1;2;200;8;6;16079243;0.798;5221
A;2;2;120;10;154;22194853;68.788;26282
B;1;2;200;9;13;33390530;1.319;7186
B;2;2;200;8;6;6439269;5.651;5122
B;2;2;200;9;12;8654366;6.982;6871
B;1;2;250;3;13;16986247;0.806;4593
B;2;2;250;3;13;6821563;6.417;4507
A;2;2;100;9;220;24932018;159.389;39454
B;2;2;250;1;14;23642313;38.663;14656
B;2;2;250;5;19;21123647;31.271;14753
B;1;2;300;3;24;81944234;3.020;10136
B;1;2;300;4;17;53364857;2.402;8584
B;1;2;300;6;27;180192373;5.706;16675
B;2;2;300;4;17;17139200;21.724;8364
B;1;2;300;7;36;551865689;15.404;31021
B;1;2;300;10;27;958648065;24.428;42092
C;1;2;60;4;183;271733467;7.583;10571
C;2;2;60;5;228;6190403;12.054;15281
B;2;2;300;1;27;50813292;128.771;26038
C;2;2;60;7;292;12430364;53.501;28136
B;2;2;300;10;26;61712323;137.618;39754
C;2;2;80;6;345;20358936;115.201;35421
C;1;2;80;8;339;4300682386;281.603;33151
A;1;2;120;1;243;12106311907;845.061;60904
C;1;2;80;7;467;19562166170;1787.011;68385
D;2;2;50;5;526;34456632;745.405;95818
C;2;2;100;10;576;71207579;2060.126;96455
A;3;3;50;3;742;7595202;10.101;23729
D;2;2;50;10;466;27379391;660.309;70989
A;2;3;50;6;841;761217031;70.002;36598
A;3;3;50;6;841;10646308;24.910;36598
A;1;3;50;7;515;385534118;12.615;12873
A;2;3;50;7;507;107531813;5.771;12828
A;3;3;50;7;507;4057144;2.994;12828
A;1;3;50;8;527;406473960;13.507;13672
A;3;3;60;3;1183;19769036;66.166;53055
A;3;3;60;4;968;14117251;28.299;38277
A;2;3;60;7;1317;1358955900;143.666;54048
A;3;3;60;7;1317;16185683;60.134;54048
D;1;2;50;10;483;13077903953;1069.297;73306
A;3;3;70;4;1560;39774365;177.582;90982
A;3;3;80;4;2356;82098261;912.117;141730
C;2;3;20;1;283;963059;0.036;1197
C;2;3;20;2;336;1520559;0.052;1572
C;1;3;20;4;133;777225;0.013;834
C;3;3;20;4;133;69779;0.011;834
C;3;3;20;5;366;194882;0.040;2018
C;1;3;20;8;161;3956575;0.063;1881
C;1;3;20;7;314;8870721;0.149;2769
C;2;3;20;9;102;234391;0.016;938
C;3;3;30;1;767;1345179;0.722;7746
C;2;3;30;1;767;50447185;1.982;7746
C;2;3;30;3;646;33326218;2.451;15999
C;1;3;30;4;736;122691133;2.575;9433
C;3;3;30;7;1744;3227997;1.885;19228
C;3;3;30;8;1034;2036126;0.897;12618
C;2;3;30;9;688;32457204;1.683;10920
C;2;3;30;6;1324;77976804;6.201;18261
C;3;3;30;10;1033;2552990;1.310;14308
C;2;3;30;10;1033;115166509;5.129;14308
C;3;3;40;1;1874;8404506;17.288;36785
C;3;3;40;2;1759;8575439;17.720;32709
C;3;3;40;4;2884;9816210;14.698;45507
C;2;3;40;4;2884;1071130780;86.388;45507
C;2;3;40;6;3244;1767752065;303.914;68761
A;3;4;30;10;740;5710182;0.976;8847
A;4;4;30;10;740;1459621;0.736;8847
A;2;4;40;1;1283;1378580117;67.508;38547
A;1;4;40;2;633;243966148;7.917;14879
A;4;4;40;2;630;2529427;1.575;14839
A;3;4;40;3;947;28895502;8.524;22212
A;4;4;40;3;947;5102001;6.868;22212
A;2;4;40;4;653;149975960;5.587;10058
A;2;4;40;5;2027;687728201;48.953;35399
A;4;4;40;9;648;2914459;2.468;13559
A;2;4;40;10;1667;1056052786;60.910;38252
A;2;4;50;2;1742;1431908428;110.344;42395
A;3;4;50;3;2562;419479348;168.296;75314
C;1;3;40;5;3436;11188299437;1065.117;77237
A;2;4;50;8;1496;2710906716;275.861;48995
C;1;4;10;1;32;9083;0.000;75
C;2;4;10;1;32;5104;0.000;75
C;3;4;10;1;32;2814;0.000;75
C;4;4;10;1;32;2473;0.000;75
C;1;4;10;2;15;3481;0.000;39
C;2;4;10;2;15;2675;0.000;39
C;3;4;10;2;15;1321;0.000;39
