classe;np;n;i;pidb;nnodesb;compb;timeb;maxndb;hvb;pid0;time0;nsol0;hv0;comp0;pid2;time2;nsol2;hv2;comp2;
A;2;40;0;407179;36;210191;0.088;923;2.612e+08;407181;8.064;28;2.568e+08;230754065;407195;13.984;28;2.568e+08;152580391;
A;2;40;1;407191;30;264469;0.117;1392;2.467e+08;407193;8.828;21;2.444e+08;252521333;407197;14.509;21;2.444e+08;86224468;
A;2;40;2;407209;17;119060;0.045;513;2.527e+08;407211;7.841;14;2.522e+08;217893525;407225;16.549;14;2.522e+08;208778364;
A;2;40;3;407222;38;295594;0.149;1446;3.139e+08;407224;8.896;32;3.104e+08;249571071;407226;13.446;32;3.104e+08;108248601;
A;2;40;4;407237;30;237131;0.116;1154;2.945e+08;407239;8.809;25;2.938e+08;242682971;407253;14.379;25;2.938e+08;65609399;
A;2;40;5;407250;19;139148;0.060;888;2.408e+08;407252;8.891;15;2.407e+08;250885050;407259;13.744;15;2.407e+08;82816488;
A;2;40;6;407271;71;286557;0.175;1366;2.429e+08;407273;8.976;57;2.394e+08;247443854;407287;13.663;57;2.394e+08;62872163;
A;2;40;7;407284;58;428172;0.256;1860;2.109e+08;407286;9.003;31;2.059e+08;253234675;407290;11.906;31;2.059e+08;68597466;
A;2;60;0;407301;45;827559;0.565;2214;6.423e+08;407306;9.101;29;6.323e+08;244795208;407317;15.988;29;6.323e+08;124811388;
A;2;60;1;407314;67;2091787;2.542;6296;5.497e+08;407316;9.245;39;5.473e+08;248612603;407318;14.904;39;5.473e+08;82699597;
A;2;60;4;407329;62;1058246;0.911;2741;6.188e+08;407331;9.224;30;6.129e+08;252313309;407345;15.367;30;6.129e+08;105741408;
A;2;60;5;407342;62;852179;0.614;2019;5.041e+08;407344;9.029;44;4.965e+08;239594586;407346;15.415;44;4.965e+08;103348182;
A;2;60;9;407359;79;2261283;3.721;5705;6.302e+08;407372;9.331;50;6.104e+08;246801918;407375;14.373;50;6.104e+08;89283115;
A;2;80;0;407370;132;3961102;7.906;8407;1.134e+09;407374;9.573;57;1.100e+09;243932604;407376;15.656;57;1.100e+09;65155247;
A;2;80;5;407387;105;3566231;5.547;6820;8.993e+08;407389;9.902;50;8.730e+08;253386300;407401;15.870;50;8.730e+08;65722308;
A;2;80;6;407400;140;9801288;67.782;19810;1.018e+09;407420;9.582;67;9.939e+08;242785480;407432;14.299;67;9.939e+08;50314857;
A;2;120;9;407169;291;47018038;927.686;57469;2.519e+09;407529;10.327;108;2.429e+09;246058193;407531;16.545;108;2.429e+09;60661505;
A;2;120;8;407158;286;63797973;2108.704;82831;2.342e+09;407585;10.391;88;2.216e+09;252396791;407586;15.252;88;2.216e+09;53937178;
B;2;200;0;407817;9;3232849;6.671;3496;7.512e+09;407819;12.124;8;7.512e+09;256560313;407822;39.147;8;7.512e+09;134457317;
B;2;200;3;407833;8;3369843;6.662;3145;7.755e+09;407835;12.228;8;7.752e+09;261485215;407838;36.996;8;7.752e+09;117443613;
