classe;np;n;i;pidb;nnodesb;compb;timeb;maxndb;hvb;pid0;time0;nsol0;hv0;comp0;pid2;time2;nsol2;hv2;comp2;pid3;time3;nsol3;hv3;comp3
A;3;50;1;407413;542;6068565;15.844;20038;7.423e+12;407416;9.076;168;7.085e+12;231276827;407417;10.160;168;7.085e+12;135304990;407418;10.036;168;7.085e+12;135304990
A;3;50;7;407431;507;4057144;6.179;12828;7.556e+12;407434;9.097;183;7.196e+12;227475606;407436;9.330;183;7.196e+12;116224055;407448;9.374;183;7.196e+12;116224055
A;3;60;4;407459;968;14117251;56.066;38277;1.411e+13;407463;9.541;239;1.313e+13;228805231;407466;10.580;239;1.313e+13;139195795;407469;10.606;239;1.313e+13;139195795
A;3;60;2;407447;747;16294566;74.536;45186;1.195e+13;407465;9.632;145;1.126e+13;236738542;407467;10.192;145;1.126e+13;145883322;407470;10.295;145;1.126e+13;145883322
A;3;70;0;407481;1319;25565046;210.743;65306;2.353e+13;407502;9.643;377;2.197e+13;220481772;407505;10.994;377;2.197e+13;106118860;407506;10.767;377;2.197e+13;106118860
A;3;70;1;407493;2081;54273538;2029.435;128753;2.206e+13;407610;9.710;371;2.082e+13;221685996;407611;11.539;371;2.082e+13;134156889;407613;11.581;371;2.082e+13;134156889
A;3;80;0;407518;2485;91123408;2773.612;148966;3.441e+13;407732;9.917;274;3.158e+13;227685203;407733;10.690;274;3.158e+13;118633860;407734;10.594;274;3.158e+13;118633860
A;3;80;5;407542;2659;113209082;3248.153;207275;3.065e+13;407770;9.961;516;2.871e+13;223166012;407771;11.574;516;2.871e+13;135990778;407772;11.941;516;2.871e+13;135990778
A;3;90;2;407598;2679;163021621;5388.202;239867;4.203e+13;408071;9.832;203;3.883e+13;232431308;408072;10.047;203;3.883e+13;100375846;408074;10.375;203;3.883e+13;100375846
A;3;90;8;407745;2272;142140247;5206.308;232191;4.912e+13;408139;9.840;301;4.492e+13;223969522;408141;11.316;301;4.492e+13;133484163;408142;11.301;301;4.492e+13;133484163
B;3;100;9;408252;10;736990;0.524;1185;7.643e+13;408254;9.222;12;7.666e+13;225420712;408255;21.573;12;7.666e+13;187191899;408257;22.416;12;7.666e+13;187191899
B;3;200;2;408268;108;42329273;85.879;36117;6.593e+14;408276;12.089;38;6.586e+14;238750626;408277;25.587;38;6.586e+14;126849446;408278;26.198;38;6.586e+14;126849446
B;3;200;4;408290;37;18903932;46.742;17136;7.063e+14;408293;11.120;14;7.049e+14;230275960;408295;24.207;14;7.049e+14;166276692;408296;23.760;14;7.049e+14;166276692
B;3;200;7;408308;50;21255770;40.049;24151;6.656e+14;408311;10.980;13;6.643e+14;227530803;408313;23.691;13;6.643e+14;164730484;408315;23.444;13;6.643e+14;164730484
A;3;90;4;407624;4628;195239659;9081.990;314002;4.520e+13;408339;10.383;541;4.162e+13;224287906;408340;11.847;541;4.162e+13;151841116;408343;11.822;541;4.162e+13;151841116
B;3;300;4;408354;78;119644953;570.596;63202;2.425e+15;408390;13.064;34;2.421e+15;237597151;408393;27.042;34;2.421e+15;116701690;408394;26.797;34;2.421e+15;116701690
B;3;300;0;408326;186;238120551;1155.821;121986;1.799e+15;408413;12.921;62;1.795e+15;233449994;408416;25.567;62;1.795e+15;147250341;408417;26.123;62;1.795e+15;147250341
B;3;300;7;408405;219;192331338;767.251;98204;2.179e+15;408467;12.463;29;2.168e+15;226084383;408468;26.214;29;2.168e+15;153092663;408473;26.363;29;2.168e+15;153092663
B;3;300;8;408429;75;126262205;547.994;73739;2.327e+15;408471;12.293;21;2.323e+15;227580085;408472;25.642;21;2.323e+15;159515364;408474;25.706;21;2.323e+15;159515364
C;3;40;1;409246;1874;8404506;35.125;36785;9.554e+11;409250;9.365;651;8.941e+11;226214876;409251;8.614;651;8.941e+11;127955867;409254;8.873;651;8.941e+11;127955867
C;3;40;4;409265;2884;9816210;29.228;45507;8.874e+11;409268;9.524;856;8.181e+11;226101252;409269;8.266;856;8.181e+11;116043307;409270;8.016;856;8.181e+11;116043307
C;3;40;7;409281;3331;13596771;38.015;55099;9.547e+11;409285;9.763;746;8.842e+11;231072394;409286;7.135;746;8.842e+11;117589396;409287;7.113;746;8.842e+11;117589396
