summary3
classe;np;n;nnodesb;compb;timeb;maxndb;hvb;time0;nsol0;hv0;comp0;time2;nsol2;hv2;comp2;time3;nsol3;hv3;comp3
string;int;int;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float;float
A;3;50;597.5;6623396.2;18.2856;21627.5;7409900000000.0;9.2175;190.0;7021100000000.0;231559248.3;9.4958;190.0;7021100000000.0;127440396.0;9.5002;190.0;7021100000000.0;127440396.0
A;3;60;1248.5;18942473.8;151.4928;49675.0;13008000000000.0;9.6412;289.3;12185000000000.0;229841253.6;10.2904;289.3;12185000000000.0;134644017.0;10.3049;289.3;12185000000000.0;134644017.0
A;3;70;1870.7;47369748.5;1175.0625;109598.0;21639000000000.0;9.812;371.1;20159000000000.0;225485705.5;10.9018;371.1;20159000000000.0;132235715.1;10.8568;371.1;20159000000000.0;132235715.1
A;3;80;2795.7;107492936.5;5425.0136;200160.7;32194000000000.0;9.8403;418.2;29758000000000.0;224815266.9;11.0232;418.2;29758000000000.0;130687162.7;11.0615;418.2;29758000000000.0;130687162.7
A;3;90;3833.3;199157201.7;14724.8073;313832.3;46479000000000.0;9.9922;457.7;42620000000000.0;225726366.8;11.0788;457.7;42620000000000.0;131073105.3;11.0995;457.7;42620000000000.0;131073105.3
B;3;100;21.4444444444444;1574030.33333333;1.52888888888889;2837.0;81483333333333.3;9.37144444444444;11.7777777777778;81495555555555.6;228670146.333333;21.5972222222222;11.7777777777778;81495555555555.6;166529677.444444;21.7037777777778;11.7777777777778;81495555555555.6;166529677.444444
B;3;200;73.7;32222719.5;69.4248;28008.6;650140000000000.0;11.0763;21.5;648880000000000.0;228815696.8;24.4825;21.5;648880000000000.0;175629368.1;24.5736;21.5;648880000000000.0;175629368.1
B;3;300;212.333333333333;227740832.777778;1072.79077777778;112328.555555556;2.16755555555556e+15;12.7495555555556;39.0;2.16111111111111e+15;233358202.777778;26.5163333333333;39.0;2.16111111111111e+15;137590879.666667;26.5803333333333;39.0;2.16111111111111e+15;137590879.666667
C;3;20;231.3;133853.0;0.0548;1467.8;116016000000.0;8.9302;230.7;116015000000.0;237073646.6;5.0245;230.7;116015000000.0;130390711.0;4.9948;230.7;116015000000.0;130390711.0
C;3;30;1000.5;1957213.0;2.4397;12461.4;424360000000.0;9.5067;545.4;411750000000.0;230101035.2;6.9538;545.4;411750000000.0;134660875.1;6.939;545.4;411750000000.0;134660875.1
C;3;40;2573.3;11934220.4;53.6667;47966.7;1017880000000.0;9.5462;673.0;949690000000.0;227745821.3;7.9231;673.0;949690000000.0;134786690.7;7.9225;673.0;949690000000.0;134786690.7
D;3;20;3994.6;2187373.2;3.921;22564.8;85164000000.0;13.5152;3054.8;84605000000.0;327619799.8;8.9957;3054.8;84605000000.0;295751213.0;9.0737;3054.8;84605000000.0;295751213.0
D;3;30;9624.8;58727080.0;1750.6957;315237.7;306190000000.0;12.1606;2184.9;285050000000.0;287902192.4;6.9696;2184.9;285050000000.0;224833919.4;6.8574;2184.9;285050000000.0;224833919.4
