classe;np;n;nnodesb;timeb;nsol_sce;time_sce_list;time_sce_2dt;speed_up_2dt;comp_ratio_2dt;time_sce_3dt;speed_up_3dt;comp_ratio_3dt;quality
A;3;50;597.5;18.3;190.0;9.2;9.5;1.0;0.6;9.5;1.0;0.6;94.8
A;3;60;1248.5;151.5;289.3;9.6;10.3;1.1;0.6;10.3;1.1;0.6;93.7
A;3;70;1870.7;1175.1;371.1;9.8;10.9;1.1;0.6;10.9;1.1;0.6;93.2
A;3;80;2795.7;5425.0;418.2;9.8;11.0;1.1;0.6;11.1;1.1;0.6;92.4
A;3;90;3833.3;14724.8;457.7;10.0;11.1;1.1;0.6;11.1;1.1;0.6;91.7
B;3;100;21.4;1.5;11.8;9.4;21.6;2.3;0.7;21.7;2.3;0.7;100.0
B;3;200;73.7;69.4;21.5;11.1;24.5;2.2;0.8;24.6;2.2;0.8;99.8
B;3;300;212.3;1072.8;39.0;12.7;26.5;2.1;0.6;26.6;2.1;0.6;99.7
C;3;20;231.3;0.1;230.7;8.9;5.0;0.6;0.6;5.0;0.6;0.6;100.0
C;3;30;1000.5;2.4;545.4;9.5;7.0;0.7;0.6;6.9;0.7;0.6;97.0
C;3;40;2573.3;53.7;673.0;9.5;7.9;0.8;0.6;7.9;0.8;0.6;93.3
D;3;20;3994.6;3.9;3054.8;13.5;9.0;0.7;0.9;9.1;0.7;0.9;99.3
D;3;30;9624.8;1750.7;2184.9;12.2;7.0;0.6;0.8;6.9;0.6;0.8;93.1
