n;m;nsets
int;int;int
5;2;9
6;2;39
7;2;30
8;2;52
9;2;41
10;2;83
11;2;66
12;2;95
13;2;127
14;2;173
15;2;316
16;2;279
17;2;193
18;2;1197
19;2;939
20;2;802
22;2;854
24;2;2686
26;2;1239
28;2;4966
30;2;2096
35;2;3075
40;2;9284
5;2;14
6;2;23
7;2;28
8;2;48
9;2;65
10;2;107
11;2;93
12;2;129
13;2;170
14;2;261
15;2;364
16;2;135
17;2;478
18;2;371
19;2;411
20;2;559
22;2;468
24;2;729
26;2;856
28;2;2559
30;2;1944
35;2;2957
40;2;6970
5;2;12
6;2;19
7;2;31
8;2;49
9;2;59
10;2;64
11;2;97
12;2;113
13;2;205
14;2;234
15;2;210
16;2;180
17;2;699
18;2;255
19;2;348
20;2;344
22;2;730
24;2;645
26;2;897
28;2;2687
30;2;2081
35;2;6087
40;2;7814
5;2;15
6;2;27
7;2;21
8;2;54
9;2;47
10;2;64
11;2;155
12;2;111
13;2;187
14;2;234
15;2;268
16;2;556
17;2;429
18;2;556
19;2;590
20;2;526
22;2;672
24;2;1384
26;2;1713
28;2;1510
30;2;2196
35;2;3716
40;2;5513
5;2;17
6;2;31
7;2;21
8;2;27
9;2;57
10;2;107
11;2;112
12;2;124
13;2;122
14;2;297
15;2;136
16;2;218
17;2;524
18;2;626
19;2;837
20;2;997
22;2;1304
24;2;1244
26;2;1392
28;2;1433
30;2;1996
35;2;2205
40;2;4470
5;2;25
6;2;20
7;2;23
8;2;51
9;2;64
10;2;125
11;2;143
12;2;116
13;2;251
14;2;165
15;2;123
16;2;269
17;2;175
18;2;460
19;2;567
20;2;437
22;2;771
24;2;1218
26;2;1084
28;2;1805
30;2;1667
35;2;5159
40;2;4181
5;2;13
6;2;19
7;2;42
8;2;42
9;2;62
10;2;68
11;2;139
12;2;221
13;2;145
14;2;212
15;2;288
16;2;553
17;2;289
18;2;685
19;2;816
20;2;793
22;2;1694
24;2;1813
26;2;1839
28;2;3774
30;2;1429
35;2;2520
40;2;7862
5;2;14
6;2;13
7;2;37
8;2;70
9;2;46
10;2;78
11;2;173
12;2;100
13;2;171
14;2;237
15;2;152
16;2;381
17;2;781
18;2;428
19;2;540
20;2;755
22;2;920
24;2;2002
26;2;1356
28;2;2887
30;2;1492
35;2;2168
40;2;3895
5;2;11
6;2;24
7;2;35
8;2;89
9;2;47
10;2;92
11;2;103
12;2;450
13;2;128
14;2;192
15;2;187
16;2;360
17;2;641
18;2;268
19;2;453
20;2;444
22;2;1116
24;2;2075
26;2;1702
28;2;2357
30;2;2280
35;2;3261
40;2;5962
5;2;11
6;2;37
7;2;32
8;2;48
9;2;145
10;2;103
11;2;113
12;2;189
13;2;231
14;2;173
15;2;418
16;2;128
17;2;233
18;2;363
19;2;452
20;2;585
22;2;1539
24;2;705
26;2;884
28;2;1700
