nitems;find;prove;profit;split;first;last;ns;sol
int;int;int;int;int;int;int;int;string
5;0;0;1479;4;3;2;2;11000
5;2;2;1631;4;3;5;3;11001
5;0;0;1636;5;4;3;3;11100
5;1;1;2019;4;3;4;3;11010
5;0;0;1397;5;4;3;3;11100
5;0;0;1157;5;4;3;3;11100
5;2;2;1911;4;3;5;3;11001
5;3;3;1988;5;3;4;3;11010
5;0;0;2687;6;5;4;4;11110
5;0;0;1621;5;4;3;3;11100
5;0;0;1625;5;4;3;3;11100
5;14;14;1438;4;1;4;2;01010
5;6;6;1581;4;2;5;3;10101
5;0;0;1759;5;4;3;3;11100
5;1;1;1158;4;3;4;3;11010
5;0;0;2592;6;5;4;4;11110
5;0;0;1248;4;3;2;2;11000
5;0;0;1622;4;3;2;2;11000
5;2;2;1575;4;3;5;3;11001
5;0;0;1890;5;4;3;3;11100
5;1;1;1491;4;3;4;3;11010
5;2;2;1512;4;3;5;3;11001
5;1;1;1667;5;4;5;4;11101
5;0;0;2018;5;4;3;3;11100
5;0;0;1849;5;4;3;3;11100
5;0;0;1975;5;4;3;3;11100
5;4;4;1845;4;2;3;2;10100
5;0;0;2026;5;4;3;3;11100
5;0;0;1766;5;4;3;3;11100
5;0;0;2020;5;4;3;3;11100
5;0;0;2075;6;5;4;4;11110
5;4;4;1600;4;2;3;2;10100
5;0;0;1984;5;4;3;3;11100
5;0;0;2302;5;4;3;3;11100
5;0;0;1727;6;5;4;4;11110
5;0;0;2202;5;4;3;3;11100
5;5;5;1439;4;2;3;2;10100
5;10;10;765;4;1;3;2;01100
5;0;0;2368;5;4;3;3;11100
5;2;2;1839;4;3;5;3;11001
5;0;0;2100;5;4;3;3;11100
5;0;0;1491;5;4;3;3;11100
5;0;0;1954;5;4;3;3;11100
5;0;0;1371;4;3;2;2;11000
5;0;0;2512;5;4;3;3;11100
5;2;2;1885;4;3;5;3;11001
5;6;6;1760;5;2;4;3;10110
5;0;0;1788;5;4;3;3;11100
5;0;0;1602;5;4;3;3;11100
5;3;3;1994;4;3;5;3;11001
5;0;0;2605;5;4;3;3;11100
5;2;2;1298;4;3;5;3;11001
